,id,team_id,match_id,summoner_id,match_timestamp,queue,kills,deaths,assists,double_kills,triple_kills,quadra_kills,penta_kills,sight_wards_bought_in_game,vision_wards_bought_in_game,wards_placed,wards_killed,total_damage_taken,true_damage_taken,magic_damage_taken,physical_damage_taken,total_damage_dealt,true_damage_dealt,magic_damage_dealt,physical_damage_dealt,total_time_crowd_control_dealt,total_damage_dealt_to_champions,true_damage_dealt_to_champions,magic_damage_dealt_to_champions,physical_damage_dealt_to_champions,gold_earned,gold_spent,minions_killed,tower_kills,inhibitor_kills,first_blood_kill,first_blood_assist,first_tower_kill,first_tower_assist,first_inhibitor_kill,first_inhibitor_assist,champion_id,lane,role,winner,team_first_blood,team_first_tower,team_first_inhibitor,team_first_dragon,team_first_baron,team_tower_kills,team_inhibitor_kills,team_dragon_kills,team_baron_kills,tm0,tm1,tm2,tm3,tm4,rm0,rm1,rm2,rm3,rm4,rm5,rm6,rm7,rm8,rm9,failingtm,passingtm,tm00,tm01,tm02,tm03,longavg,bool,sum_games_by_id,is_first_game,milliseconds_in_game,days_in_game,workdays_in_game_8hrs,first_game_timestamp,first_game_timestamp_by_id,milliseconds_since_first_game,days_since_first_game,workdays_since_first_game_8hrs,pct_days_in_game,tm00count,tm01count,tm02count,tm03count,tm00famcount,tm01famcount,tm02famcount,tm03famcount,alltmfamcount,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f00,f01,f02,f000,f001,top,jungle,mid,bot_carry,bot_support,sum_games_for_lag,min_lag_range_three_month,games_to_remove_three_month,three_month_sumgames,f_to_remove_three_month,three_month_fcount,kda,min_lag_range_one_month,games_to_remove_one_month,one_month_sumgames,f_to_remove_one_month,one_month_fcount
10174,e890efd792e1b00123deb4cfc9b84a2d,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1367443020,50879700,1399090664147,RANKED_SOLO_5x5,5,3,21,0,0,0,0,0,0,27,0,27227,1084,11355,14788,67001,0,50082,16918,127,20486,0,16147,4338,14050,10795,50,1,1,0,0,0,1,0,0,53,BOTTOM,DUO_SUPPORT,1,1,1,1,1,1,10,3,2,1,50879700,47027506,24089465,35800590,53114715,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,0,4321,47027506,24089465,35800590,53114715,1,1,1,1,2040000,0.0236111111,0.0708333333,1399090664147,1399090664147,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,-7889229000,,,,,8.6666666667,-2629743000,,,,
9033,cff0fb2f3fd8927f9e78511c0f4b81c4,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1381151062,50879700,1400114920202,RANKED_SOLO_5x5,1,6,1,0,0,0,0,0,0,11,0,12270,345,3716,8209,23432,0,13408,10024,42,5444,0,3991,1453,4292,2950,24,1,0,0,0,0,0,0,0,25,BOTTOM,DUO_SUPPORT,0,0,0,0,0,0,3,0,0,0,34138764,39851772,49260071,50879700,32385049,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,3,4210,34138764,39851772,49260071,32385049,1,1,2,0,4080000,0.0472222222,0.1416666667,0,1399090664147,1024256055,11.8548154514,35.5644463542,0.0039833789,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,-6864972945,,,,,0.3333333333,-1605486945,,,,
8435,c1f4d5271c19d253337cc94b4fbbfc52,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1392723754,50879700,1400898071952,RANKED_SOLO_5x5,5,1,15,1,0,0,0,1,0,6,0,11024,415,2987,7621,23606,0,14688,8918,42,9122,0,6911,2210,9094,7640,17,0,0,0,0,0,0,0,1,53,BOTTOM,DUO_SUPPORT,1,1,1,1,1,0,10,2,2,0,53365255,50879700,40864472,34015321,54796555,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,1,4320,53365255,40864472,34015321,54796555,1,1,3,0,6120000,0.0708333333,0.2125,0,1399090664147,1807407805,20.9190718171,62.7572154514,0.0033860648,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3,-6081821195,,,,,20,-822335195,,,,
3333,4c05aa02df066adc1f00c4af384ae005,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1409082840,50879700,1402032396617,RANKED_SOLO_5x5,0,11,11,0,0,0,0,0,0,6,0,27379,517,14428,12434,17262,0,11069,6192,258,5616,0,5221,394,7609,7320,10,0,0,0,0,0,0,0,0,412,BOTTOM,DUO_SUPPORT,0,0,0,0,0,0,4,0,0,0,46118973,50879700,23857083,23100894,46900118,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,1,4320,46118973,23857083,23100894,46900118,1,1,4,0,8160000,0.0944444444,0.2833333333,0,1399090664147,2941732470,34.0478295139,102.1434885417,0.0027738756,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4,-4947496530,,,,,1,311989470,1,3,0,0
290,06c3854c25ff671a0d4d3b5f69f13014,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1411503451,50879700,1402201123558,RANKED_SOLO_5x5,1,2,14,0,0,0,0,0,0,8,0,12826,1492,2525,8809,20881,0,14413,6468,110,6659,0,5683,976,7257,6115,17,0,0,0,0,0,0,0,0,412,BOTTOM,DUO_SUPPORT,1,1,1,0,1,0,5,0,1,0,22510898,28522193,37820210,34653656,50879700,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,4,3210,22510898,28522193,37820210,34653656,1,1,5,0,10200000,0.1180555556,0.3541666667,0,1399090664147,3110459411,36.0006876273,108.0020628819,0.0032792584,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,5,-4778769589,,,,,7.5,480716411,1,4,0,0
690,106b79c158127937918176ef2b2fadf0,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1414033794,50879700,1402378216051,RANKED_SOLO_5x5,3,4,14,0,0,0,0,0,0,18,0,18842,434,9243,9164,24258,0,14534,9724,190,7295,0,6647,647,10262,8160,20,0,0,0,0,0,0,0,1,412,BOTTOM,DUO_SUPPORT,1,1,1,1,0,1,9,2,1,1,31454502,26329439,50879700,31652553,44123606,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,2,4310,31454502,26329439,31652553,44123606,1,1,6,0,12240000,0.1416666667,0.425,0,1399090664147,3287551904,38.0503692593,114.1511077778,0.0037231351,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,6,-4601677096,,,,,4.25,657808904,1,5,0,0
10290,eae9ddae0942c1aaaa218418902c5faf,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1414068657,50879700,1402382711075,RANKED_SOLO_5x5,5,5,1,1,0,0,0,0,0,1,0,16637,278,5132,11227,74378,6198,36684,31496,536,6584,224,3177,3183,6600,6400,12,0,0,0,0,0,0,0,0,77,JUNGLE,NONE,0,0,0,0,0,0,0,0,0,0,22977219,50095941,33379156,34360300,50879700,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,4,3210,22977219,50095941,33379156,34360300,1,1,7,0,14280000,0.1652777778,0.4958333333,0,1399090664147,3292046928,38.102395,114.307185,0.0043377267,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,7,-4597182072,,,,,1.2,662303928,1,6,0,0
9302,d5c8be8907d7a74cc8b70f7e9946763e,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1416215049,50879700,1402544912472,RANKED_SOLO_5x5,1,6,13,0,0,0,0,0,0,9,0,44515,1688,16976,25851,100952,0,75812,25140,715,24245,0,20777,3467,11211,10020,135,2,0,0,0,0,0,0,0,36,TOP,SOLO,0,1,1,0,1,0,6,0,2,0,21209572,36571849,32959918,42859866,50879700,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,4,3210,21209572,36571849,32959918,42859866,1,1,8,0,16320000,0.1888888889,0.5666666667,0,1399090664147,3454248325,39.9797259838,119.9391779514,0.0047246169,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,8,-4434980675,,,,,2.3333333333,824505325,1,7,0,0
6003,893c23e5ce6c9fe4222254e07feeeff1,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1417256399,50879700,1402624550571,RANKED_SOLO_5x5,0,4,13,0,0,0,0,0,0,9,0,19017,158,10018,8841,21771,0,14613,7158,294,6824,0,5845,978,9021,7350,13,0,0,0,0,0,0,0,1,412,BOTTOM,DUO_SUPPORT,1,1,0,1,1,1,8,2,4,1,50879700,22987456,20675394,45098304,32863192,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,0,4321,22987456,20675394,45098304,32863192,1,1,9,0,18360000,0.2125,0.6375,0,1399090664147,3533886424,40.9014632407,122.7043897222,0.0051954132,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,9,-4355342576,,,,,3.25,904143424,1,8,0,0
4785,6d22d81564906de728f4c910bce12a01,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1417437349,50879700,1402631823549,RANKED_SOLO_5x5,1,7,16,0,0,0,0,1,1,19,1,21784,744,7544,13495,32154,0,22525,9628,189,8477,0,7776,700,9892,9145,37,0,0,0,0,0,0,0,0,412,BOTTOM,DUO_SUPPORT,1,0,1,1,0,0,10,3,1,0,27982809,55109239,35309183,35793090,50879700,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,4,3210,27982809,55109239,35309183,35793090,1,1,10,0,20400000,0.2361111111,0.7083333333,0,1399090664147,3541159402,40.9856412269,122.9569236806,0.0057608251,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,10,-4348069598,,,,,2.4285714286,911416402,1,9,0,0
