,id,team_id,match_id,summoner_id,match_timestamp,queue,kills,deaths,assists,double_kills,triple_kills,quadra_kills,penta_kills,sight_wards_bought_in_game,vision_wards_bought_in_game,wards_placed,wards_killed,total_damage_taken,true_damage_taken,magic_damage_taken,physical_damage_taken,total_damage_dealt,true_damage_dealt,magic_damage_dealt,physical_damage_dealt,total_time_crowd_control_dealt,total_damage_dealt_to_champions,true_damage_dealt_to_champions,magic_damage_dealt_to_champions,physical_damage_dealt_to_champions,gold_earned,gold_spent,minions_killed,tower_kills,inhibitor_kills,first_blood_kill,first_blood_assist,first_tower_kill,first_tower_assist,first_inhibitor_kill,first_inhibitor_assist,champion_id,lane,role,winner,team_first_blood,team_first_tower,team_first_inhibitor,team_first_dragon,team_first_baron,team_tower_kills,team_inhibitor_kills,team_dragon_kills,team_baron_kills,tm0,tm1,tm2,tm3,tm4,rm0,rm1,rm2,rm3,rm4,rm5,rm6,rm7,rm8,rm9,failingtm,passingtm,tm00,tm01,tm02,tm03,longavg,bool,sum_games_by_id,is_first_game,milliseconds_in_game,days_in_game,workdays_in_game_8hrs,first_game_timestamp,first_game_timestamp_by_id,milliseconds_since_first_game,days_since_first_game,workdays_since_first_game_8hrs,pct_days_in_game,tm00count,tm01count,tm02count,tm03count,tm00famcount,tm01famcount,tm02famcount,tm03famcount,alltmfamcount,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f00,f01,f02,f000,f001,top,jungle,mid,bot_carry,bot_support,sum_games_for_lag,min_lag_range_three_month,games_to_remove_three_month,three_month_sumgames,f_to_remove_three_month,three_month_fcount,kda
6499,94b13db21ba3c8956a2b43b8ecbe42dd,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1375020667,26243614,1399686578121,RANKED_SOLO_5x5,5,3,10,0,0,0,0,1,1,5,2,32126,1215,8340,22571,203419,13598,110858,78964,516,18494,464,8957,9073,14590,11760,81,2,1,0,0,0,1,0,0,102,JUNGLE,NONE,1,1,1,1,1,1,11,7,4,2,21069511,28445541,20919301,26243614,65583,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,3,4210,21069511,28445541,20919301,65583,1,1,1,1,2040000,0.0236111111,0.0708333333,1399686578121,1399686578121,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,-7889229000,,,,,5
7249,a6d097476710c6c41087b520a1f7ab00,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1384532165,26243614,1400345369141,RANKED_SOLO_5x5,0,0,10,0,0,0,0,3,0,10,0,10867,682,3388,6796,14060,2960,7109,3990,1168,6046,372,4360,1313,5699,4835,23,0,0,0,0,0,0,0,0,201,BOTTOM,DUO_SUPPORT,1,1,0,0,0,0,5,0,1,0,36703840,26243614,21794677,32520261,32492545,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,1,4320,36703840,21794677,32520261,32492545,1,1,2,0,4080000,0.0472222222,0.1416666667,0,1399686578121,658791020,7.6248960648,22.8746881944,0.0061931627,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,-7230437980,,,,,10
3276,4b09e2e0eedc483fe21c45a134e0102f,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1384537067,26243614,1400347198256,RANKED_SOLO_5x5,2,8,14,0,0,0,0,1,0,23,1,48987,1606,16175,31205,66237,3577,36790,25869,2173,10737,0,6262,4475,16078,13870,92,0,0,0,0,0,0,0,1,12,BOTTOM,DUO_SUPPORT,1,0,0,1,1,1,11,4,6,2,34784662,20438270,23804141,26243614,34002737,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,3,4210,34784662,20438270,23804141,34002737,0,1,3,0,6120000,0.0708333333,0.2125,0,1399686578121,660620135,7.6460663773,22.9381991319,0.0092640228,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3,-7228608865,,,,,2
975,169c5d122f85e9c8bb754f1e0a935452,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1385249552,26243614,1400380483302,RANKED_SOLO_5x5,12,5,13,3,0,0,0,0,0,8,3,26467,1279,5135,20051,164184,40,25319,138825,374,25162,40,4129,20992,15610,13495,232,1,0,0,0,0,0,0,1,21,BOTTOM,DUO_CARRY,1,0,1,1,0,0,8,2,2,0,20352918,30315740,22771657,21469422,26243614,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,4,3210,20352918,30315740,22771657,21469422,1,1,4,0,8160000,0.0944444444,0.2833333333,0,1399686578121,693905181,8.0313099653,24.0939298958,0.0117595317,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,4,-7195323819,,,,,5
8925,cd55387ce115e16d9ad8cb5e4916b3e6,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1386494616,26243614,1400453600646,RANKED_SOLO_5x5,9,4,1,0,0,0,0,2,0,10,0,30704,1035,8757,20911,158334,5215,10630,142489,270,25335,4717,2856,17762,13748,13068,211,0,1,0,0,0,0,1,0,122,TOP,SOLO,1,0,1,1,0,1,10,2,1,1,20661710,21672553,49070264,31301332,26243614,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,4,3210,20661710,21672553,49070264,31301332,1,1,5,0,10200000,0.1180555556,0.3541666667,0,1399686578121,767022525,8.8775755208,26.6327265625,0.0132981753,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,5,-7122206475,,,,,2.5
5397,7afd86ac36ffc1f1bfcc46b4142fc91e,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1386540712,26243614,1400456122845,RANKED_SOLO_5x5,0,5,3,0,0,0,0,1,0,5,0,16152,114,3451,12586,80242,548,1660,78034,23,7925,548,404,6972,6460,6092,148,0,0,0,0,0,0,0,0,58,TOP,SOLO,0,0,0,0,1,0,3,0,1,0,46530760,19776537,19586982,26243614,49070264,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,3,4210,46530760,19776537,19586982,49070264,0,1,6,0,12240000,0.1416666667,0.425,0,1399686578121,769544724,8.9067676389,26.7203029167,0.0159055083,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,6,-7119684276,,,,,0.6
2305,34b39ed749a79ad2c2f109d916c4cea7,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1386555271,26243614,1400458048078,RANKED_SOLO_5x5,2,2,7,0,0,0,0,1,2,20,2,16720,642,2740,13338,19093,2151,9766,7175,93,4839,0,3067,1772,7646,7070,37,0,0,0,0,0,0,0,1,12,BOTTOM,DUO_SUPPORT,1,1,1,1,1,1,8,1,1,1,26243614,19778257,21775595,49070264,19776537,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,0,4321,19778257,21775595,49070264,19776537,0,1,7,0,14280000,0.1652777778,0.4958333333,0,1399686578121,771469957,8.9290504282,26.7871512847,0.0185101181,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,7,-7117759043,,,,,4.5
9239,d492d31e5181fb6db38c7e152ea0cb53,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1386578726,26243614,1400460394373,RANKED_SOLO_5x5,2,5,13,0,0,0,0,1,1,33,5,42005,1504,20995,19505,28048,2598,16267,9183,973,7432,0,5627,1805,10419,9575,65,0,0,0,0,0,0,0,1,12,BOTTOM,DUO,0,1,0,1,0,0,7,1,2,0,32322536,26243614,29633429,49070264,21037223,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,1,4320,32322536,29633429,49070264,21037223,1,1,8,0,16320000,0.1888888889,0.5666666667,0,1399686578121,773816252,8.9562066204,26.8686198611,0.0210902782,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,8,-7115412748,,,,,3
2214,32e0cd4dc51fefd03e3661675d49496f,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1386637279,26243614,1400463477785,RANKED_SOLO_5x5,10,1,7,2,0,0,0,0,0,5,2,21081,550,5608,14922,152871,822,12039,140009,208,19067,436,1738,16893,13406,15725,183,3,1,0,0,1,0,0,0,222,BOTTOM,DUO_CARRY,1,1,1,1,1,1,10,2,3,1,19570600,24198706,36397569,27686910,26243614,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,4,3210,19570600,24198706,36397569,27686910,1,1,9,0,18360000,0.2125,0.6375,0,1399686578121,776899664,8.9918942593,26.9756827778,0.0236323953,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,9,-7112329336,,,,,17
10333,ec14569cf11baecbbd41274ddfa8c3a6,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1386684183,26243614,1400465846107,RANKED_SOLO_5x5,5,6,7,0,0,0,0,2,0,32,1,41709,1975,13024,26709,33406,4516,21660,7229,174,9551,72,8005,1474,8653,8330,42,0,0,0,0,0,0,0,0,12,BOTTOM,DUO_SUPPORT,0,0,0,0,0,0,2,0,0,0,36790542,29290847,26295344,26243614,25395328,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,3,4210,36790542,29290847,26295344,25395328,1,1,10,0,20400000,0.2361111111,0.7083333333,0,1399686578121,779267986,9.0193053935,27.0579161806,0.0261784141,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,10,-7109961014,,,,,2
